,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
33003,False,,0,"[{'id': 18, 'name': 'Drama'}]",,63276,tt0140428,it,L'odore della notte,,0.326061,/2RRudXIGqAYyRWyYrt0kOjRpdhe.jpg,[],"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1998-01-01,0.0,,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,L'odore della notte,False,6.4,9.0
12172,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,4953,tt0799934,en,Be Kind Rewind,"A man whose brain becomes magnetized unintentionally destroys every tape in his friend's video store. In order to satisfy the store's most loyal renter, an aging woman with signs of dementia, the two men set out to remake the lost films.",4.848692,/f0oX20YrQEiVPDH9InCQ1d3Cm66.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Partizan', 'id': 1784}, {'name': 'Focus Features', 'id': 10146}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2008-01-20,0.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"You name it, we shoot it.",Be Kind Rewind,False,6.2,426.0
5192,False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,21220,tt0281865,en,"Frank McKlusky, C.I.","As a child, Frank McKlusky watched his daredevil father ""Madman"" McKlusky become comatose in an ill-fated motorcycle stunt. Now as a risk-avoiding adult, he lives with his parents and always wears protective gear. When he suspiciously loses his partner on the job, Frank must become a master of disguise, take a sexy new partner and grab evidence to bust up the biggest insurance scam going!",0.628159,/qcHr4g6Lbp12woAlLSPIUseiP03.jpg,"[{'name': 'Robert Simonds Productions', 'id': 3929}, {'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-04-26,0.0,83.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Accidents Will Happen,"Frank McKlusky, C.I.",False,3.3,4.0
32511,False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,116236,tt0056665,it,La voglia matta,,0.407932,/eGU8WMPj3hZDNWXCyhRFrIh3y8t.jpg,"[{'name': 'Dino de Laurentiis Cinematografica', 'id': 1216}, {'name': 'Lux Film', 'id': 1679}, {'name': 'Umbria Film', 'id': 82027}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1962-07-31,0.0,110.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Crazy Desire,False,6.3,2.0
43723,False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",,419428,tt6001712,ru,Тэли и Толи,"This down-to-earth story that takes place in the mountains of North Caucasus, between two adjacent villages – Ossetian Toli and Georgian Teli – tells us about simple and naïve people that governments try to divide today by an official state border. These people wish to live in peace and harmony, in spite of ethnic differences, as their ancestors lived for hundreds of years. They are accustomed to solve all the conflicts peacefully, following Caucasian customs – around a great table, with wine and songs…",0.118598,/mO9r1PnHIRQaY9OTmmzmEklSd4m.jpg,"[{'name': 'Horosho Production', 'id': 21577}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'RU', 'name': 'Russia'}, {'iso_3166_1': 'GE', 'name': 'Georgia'}, {'iso_3166_1': 'GR', 'name': 'Greece'}]",2016-09-01,0.0,77.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Teli and Toli,False,4.0,1.0
7813,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,31146,tt0115738,en,Box of Moonlight,"Al Fountain, a middle-aged electrical engineer, is on the verge of a mid-life crisis, when he decides to take his time coming home from a business trip, rents a car, and heads out looking for a lake he remembers from his childhood. But his wandering takes him into the life of Kid, a free-spirited young man who helps Al escape from the routine of everyday life and find freedom to enjoy himself.",6.254986,/hCyZLEH2NDfkENKEqaSTiGxMVIG.jpg,"[{'name': 'Lakeshore Entertainment', 'id': 126}, {'name': 'Largo Entertainment', 'id': 1644}, {'name': 'JVC Entertainment Networks', 'id': 4248}, {'name': 'Lemon Sky Productions', 'id': 13190}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-08-29,0.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Discover something incredible...,Box of Moonlight,False,7.1,15.0
21440,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}]",,98412,tt1570090,en,Flight of the Conchords: A Texan Odyssey,Flight of the Conchords embark on a revealing and hilarious odyssey into the political and musical heart of the United States of America.,0.042821,/epOho6pKIhhAKBjwH2uDpQDXn3F.jpg,[],"[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-10-19,0.0,44.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Flight of the Conchords: A Texan Odyssey,False,7.5,1.0
32912,False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,120581,tt0031179,en,Convict's Code,"On parole after three years in prison, a football player (Robert Kent) encounters the man (Sidney Blackmer) who framed him.",0.063206,/MdYzGhTZIjONXTrc0dvc9O3x0V.jpg,"[{'name': 'Monogram Pictures', 'id': 4395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1939-01-18,0.0,62.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Convict's Code,False,0.0,0.0
20609,False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 10752, 'name': 'War'}]",,72882,tt0075019,en,Operation: Daybreak,"Czechoslovakia, 1942. Three brave Czech patriots risk everything to rid their country of its brutal Nazi leader, SS-General Reinhard Heydrich.",3.273933,/qtVhsFNuZvCnQWdHcJn5fLlBzBO.jpg,"[{'name': 'Ceskoslovenský Filmexport', 'id': 2330}, {'name': 'Vista', 'id': 14686}, {'name': 'Filmové studio Barrandov', 'id': 66848}, {'name': 'Howard R. Schuster', 'id': 94028}, {'name': 'American Allied Pictures', 'id': 94029}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CZ', 'name': 'Czech Republic'}, {'iso_3166_1': 'BE', 'name': 'Belgium'}]",1975-11-01,0.0,118.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,It was a hit and run operation with no place to run,Operation: Daybreak,False,6.9,14.0
7751,False,,14320000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,52959,tt0063642,en,Star!,Gertrude Lawrence rises to stage stardom at the cost of happiness.,0.585397,/e4I6LDDCaQxBESDtPo0yemtF4JL.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Robert Wise Productions', 'id': 6304}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1968-07-18,14000000.0,176.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Happiness is a girl called Julie!,Star!,False,6.0,7.0
43757,False,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",,360998,tt0328279,ru,Prevrashchenie,"Based on Kafka's story of the same name, ""The Metamorphosis"" tells the story of a traveling salesman, Gregor Samsa, who wakes up one morning to find himself transformed into a gigantic insect.",0.053199,/U0DhKGVgaZr5zv3ZOkQU3C4wmS.jpg,[],[],2003-01-01,0.0,80.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Metamorphosis,False,1.0,1.0
31228,False,,0,"[{'id': 99, 'name': 'Documentary'}]",http://speciesismthemovie.com/,234555,tt2359814,en,Speciesism: The Movie,"Modern farms are struggling to keep a secret. Most of the animals used for food in the United States are raised in giant, bizarre factories, hidden deep in remote areas of the countryside. Speciesism: The Movie director Mark Devries set out to investigate. The documentary takes viewers on a sometimes funny, sometimes frightening adventure, crawling through the bushes that hide these factories, flying in airplanes above their toxic manure lagoons, and coming face-to-face with their owners.",0.132374,/2sov0psBBYDlmr8DzkFRjSAjnUo.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-09-18,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Speciesism: The Movie,False,6.5,2.0
36230,False,,0,"[{'id': 35, 'name': 'Comedy'}]",http://www.thecinemasnob.com,135097,tt2262221,en,The Cinema Snob Movie,"When small time exploitation filmmakers Craig (Brad Jones) and Neil (Jake Norvell) are denied filming permits by the snooty head of the local film commission (Ryan Mitchelle), Craig’s only option is to go undercover as a pretentious film snob. But once accepted by the group Craig finds himself thrust into a strange and deadly mystery surrounding the very secretive club.",0.045236,/nQqgk5t4G0oGaf6eqYhfOgoqHH1.jpg,"[{'name': 'Walkaway Entertainment', 'id': 11001}, {'name': 'Stoned Gremlin', 'id': 11002}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-09-27,0.0,124.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A Legend is Born,The Cinema Snob Movie,False,9.0,1.0
32025,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,118379,tt0117575,cn,色情男女,"Sing's last two films were flops, but he is given the helm on a Category III sex film and has to cope with a leading lady who won't do nude scenes, Triad backers, and a crumbling relationship with his girlfriend.",1.373953,/1aIsi20znGwNbUeeSxriqGpj7ZP.jpg,"[{'name': 'Golden Harvest Company', 'id': 2521}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",1996-11-28,0.0,99.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,,Viva Erotica,False,8.0,2.0
21758,False,,0,"[{'id': 18, 'name': 'Drama'}]",http://www.hbo.com/movies/muhammad-alis-greatest-fight,196355,tt2061756,en,Muhammad Ali's Greatest Fight,"Muhammad Ali’s historic Supreme Court battle from behind closed doors. When Ali was drafted into the Vietnam War at the height of his boxing career, his claim to conscientious objector status led to a controversial legal battle that rattled the U.S. judicial system right up to the highest court in the land.",1.656774,/wDpaZQPnvW5H6VGy22e20Fqilpx.jpg,"[{'name': 'Rainmark Films', 'id': 3346}, {'name': 'HBO Films', 'id': 7429}, {'name': 'Sakura Films', 'id': 49930}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-10-04,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Some Fights Are Bigger Than The Ring,Muhammad Ali's Greatest Fight,False,5.9,10.0
45413,False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,70965,tt1735198,en,Кука,A woman and a young girl in different cities are struggling to find their way in this world. Will their paths intersect and will that change their destinies?,0.655728,/ofn6ObRZnWIQ5wEPHjEj31PoeCw.jpg,"[{'name': 'Staralis Film Company', 'id': 19791}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",2007-11-29,0.0,104.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Kuka,False,6.3,7.0
35730,False,,5200000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",,275269,tt0315642,hi,Wazir,"'Wazir' is a tale of two unlikely friends, a wheelchair-bound chess grandmaster and a brave ATS officer. Brought together by grief and a strange twist of fate, the two men decide to help each other win the biggest games of their lives. But there's a mysterious, dangerous opponent lurking in the shadows, who is all set to checkmate them.",3.571376,/uok4Yb8FMHNcAoW0hOknnpCVFHZ.jpg,"[{'name': 'Getaway Films', 'id': 12865}, {'name': 'Rajkumar Hirani Films', 'id': 44163}, {'name': 'Vinod Chopra Films', 'id': 44164}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2016-01-07,9200000.0,102.0,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,This new year make your best move,Wazir,False,6.7,36.0
8444,False,,0,"[{'id': 18, 'name': 'Drama'}]",,82101,tt0039636,en,Mourning Becomes Electra,"Near the end of the Civil War, the proud residents of Mannon Manor await the return of shipping tycoon Ezra Mannon and son Orin. Meanwhile Ezra’s conniving wife Christine and daughter Lavinia vie for the love of a handsome captain with a dark secret while well-meaning neighbor Peter sets his sights on Lavinia.",0.732442,/isjtkUZ6ydOSX6grYfD5g2WiH5o.jpg,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1947-11-19,0.0,173.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,...Mother and daughter in love with the same man ... rivals in ruthlessness even to murder!,Mourning Becomes Electra,False,6.7,3.0
19946,False,,3100000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",http://www.solarfilms.com/elokuvat/kaikki/puhdistus/fi_FI/juliste/,135225,tt1714205,fi,Puhdistus,"Allide experienced The Great Terror under Stalin’s regime, and decades after her hometown people were deported to Siberia, she lives alone in an isolated house. One night, she finds a young woman in her yard – Zara has just escaped from the claws of the Russian mafia that held her as a sex slave. Survivors both, Aliide and Zara engage in unearthing each other’s motives and gradually, and their stories merge into one, revealing the tragedy of a family during the cruelest years in Estonian history.",6.082938,/wGCBQS4VkqHYsKpyRtdlm8wBqSk.jpg,"[{'name': 'Taska Film', 'id': 6162}, {'name': 'Solar Films inc.', 'id': 6339}]","[{'iso_3166_1': 'EE', 'name': 'Estonia'}, {'iso_3166_1': 'FI', 'name': 'Finland'}]",2012-09-07,0.0,125.0,"[{'iso_639_1': 'fi', 'name': 'suomi'}]",Released,,Purge,False,6.7,23.0
